tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777321878,2026-04-27T20:31:18Z,saorsa-7,3,0,0,0,0,0,0,0,0,75,75,0,5,0,0,0,0,0,0,0,0,4000
1777321949,2026-04-27T20:32:29Z,saorsa-2,5,1710,1710,0,186,5748,5748,0,9,186,186,0,1,0,25,10000,0,1,4000,0,0,4000
1777321949,2026-04-27T20:32:29Z,saorsa-3,5,1958,1958,0,136,5677,5677,0,83,182,182,0,4,0,55,10000,0,0,4000,0,0,4000
1777321949,2026-04-27T20:32:29Z,saorsa-6,5,1942,1942,0,119,5696,5696,0,0,180,180,0,2,0,11,10000,0,1,4000,0,0,4000
1777321949,2026-04-27T20:32:29Z,saorsa-7,3,0,0,0,0,0,0,0,0,80,80,0,5,0,0,0,0,0,0,0,0,4000
1777322020,2026-04-27T20:33:40Z,saorsa-2,5,1806,1806,0,186,6056,6056,0,9,195,195,0,1,0,25,10000,0,1,4000,0,0,4000
1777322020,2026-04-27T20:33:40Z,saorsa-3,5,2024,2024,0,136,5982,5982,0,83,191,191,0,4,0,55,10000,0,0,4000,0,0,4000
1777322020,2026-04-27T20:33:40Z,saorsa-6,5,2028,2028,0,119,5999,5999,0,0,189,189,0,2,0,11,10000,0,1,4000,0,0,4000
1777322020,2026-04-27T20:33:40Z,saorsa-7,3,0,0,0,0,0,0,0,0,84,84,0,5,0,0,0,0,0,0,0,0,4000
1777322090,2026-04-27T20:34:50Z,saorsa-2,5,1875,1875,0,186,6358,6358,0,9,203,203,0,1,0,25,10000,0,1,4000,0,0,4000
1777322090,2026-04-27T20:34:50Z,saorsa-3,5,2125,2125,0,136,6285,6285,0,83,200,200,0,4,0,55,10000,0,0,4000,0,0,4000
1777322090,2026-04-27T20:34:50Z,saorsa-6,5,2112,2112,0,119,6295,6295,0,0,198,198,0,2,0,11,10000,0,1,4000,0,0,4000
1777322090,2026-04-27T20:34:50Z,saorsa-7,3,0,0,0,0,0,0,0,0,89,89,0,5,0,0,0,0,0,0,0,0,4000
1777322160,2026-04-27T20:36:00Z,saorsa-2,5,1961,1961,0,186,6663,6663,0,9,215,215,0,1,0,25,10000,0,1,4000,0,0,4000
1777322160,2026-04-27T20:36:00Z,saorsa-3,5,2199,2199,0,136,6591,6591,0,83,210,210,0,4,0,55,10000,0,0,4000,0,0,4000
1777322160,2026-04-27T20:36:00Z,saorsa-6,5,2247,2247,0,119,6595,6595,0,0,208,208,0,2,0,13,10000,0,1,4000,0,0,4000
1777322160,2026-04-27T20:36:00Z,saorsa-7,3,0,0,0,0,0,0,0,0,94,94,0,5,0,0,0,0,0,0,0,0,4000
1777322231,2026-04-27T20:37:11Z,saorsa-2,5,2021,2021,0,186,6968,6968,0,9,223,223,0,1,0,25,10000,0,1,4000,0,0,4000
